2026-04-25 07:59:28.618 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-25 07:59:28.651 [main] INFO  com.hxy.ai.robot.NewAiRobotSpringbootApplication - Starting NewAiRobotSpringbootApplication using Java 21.0.10 with PID 19068 (D:\IdeaProjects\new-ai-robot\new-ai-robot-springboot\target\classes started by 霍鑫宇 in D:\IdeaProjects\new-ai-robot\new-ai-robot-springboot)
2026-04-25 07:59:28.655 [main] INFO  com.hxy.ai.robot.NewAiRobotSpringbootApplication - The following 1 profile is active: "dev"
2026-04-25 07:59:30.055 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-04-25 07:59:30.071 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-04-25 07:59:30.072 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-25 07:59:30.072 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-04-25 07:59:30.117 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-25 07:59:30.118 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1429 ms
2026-04-25 07:59:30.860 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - Using the vector table name: t_vector_store. Is empty: false
2026-04-25 07:59:30.864 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - Initializing PGVectorStore schema for table: t_vector_store in schema: public
2026-04-25 07:59:30.864 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - vectorTableValidationsEnabled false
2026-04-25 07:59:31.261 [main] INFO  com.baomidou.mybatisplus.extension.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2552f2cb
2026-04-25 07:59:31.354 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-04-25 07:59:31.362 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2026-04-25 07:59:31.367 [main] INFO  com.hxy.ai.robot.NewAiRobotSpringbootApplication - Started NewAiRobotSpringbootApplication in 3.008 seconds (process running for 4.477)
2026-04-25 07:59:36.012 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-25 07:59:36.019 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-25 08:00:12.335 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-25 08:00:12.361 [main] INFO  com.hxy.ai.robot.NewAiRobotSpringbootApplication - Starting NewAiRobotSpringbootApplication using Java 21.0.10 with PID 24656 (D:\IdeaProjects\new-ai-robot\new-ai-robot-springboot\target\classes started by 霍鑫宇 in D:\IdeaProjects\new-ai-robot\new-ai-robot-springboot)
2026-04-25 08:00:12.364 [main] INFO  com.hxy.ai.robot.NewAiRobotSpringbootApplication - The following 1 profile is active: "dev"
2026-04-25 08:00:13.430 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-04-25 08:00:13.439 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-04-25 08:00:13.440 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-25 08:00:13.441 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-04-25 08:00:13.474 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-25 08:00:13.475 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1084 ms
2026-04-25 08:00:14.066 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - Using the vector table name: t_vector_store. Is empty: false
2026-04-25 08:00:14.070 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - Initializing PGVectorStore schema for table: t_vector_store in schema: public
2026-04-25 08:00:14.070 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - vectorTableValidationsEnabled false
2026-04-25 08:00:14.431 [main] INFO  com.baomidou.mybatisplus.extension.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2c30b71f
2026-04-25 08:00:14.553 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-04-25 08:00:14.562 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2026-04-25 08:00:14.570 [main] INFO  com.hxy.ai.robot.NewAiRobotSpringbootApplication - Started NewAiRobotSpringbootApplication in 2.462 seconds (process running for 3.142)
2026-04-25 08:00:53.463 [http-nio-8081-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-25 08:00:53.463 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-25 08:00:53.464 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-04-25 08:00:53.575 [http-nio-8081-exec-1] INFO  com.hxy.ai.robot.aspect.ApiOperationLogAspect - ====== 请求开始: [查询历史对话], 入参: {"current":1,"size":20}, 请求类: ChatController, 请求方法: findChatHistoryPageList =================================== 
2026-04-25 08:00:53.793 [http-nio-8081-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - AI-Robot-HikariCP - Starting...
2026-04-25 08:00:54.074 [http-nio-8081-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - AI-Robot-HikariCP - Added connection com.p6spy.engine.wrapper.ConnectionWrapper@4e7be4b5
2026-04-25 08:00:54.075 [http-nio-8081-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - AI-Robot-HikariCP - Start completed.
